IDNO;SRKODU;SERVIS_KODU;DURAK_KODU;DURAK_ADI
1168;1;1;2;EMPTY
886;1;11;1111;AHMETBEY
887;1;11;1112;AKÇAKÖY
888;1;11;1113;EVRENSEKİZ
889;1;11;1114;KÜÇÜKKARIŞTIRAN
1081;1;11;1115;AK EV
1082;1;11;1116;BELEDİYE ÖNÜ
1083;1;11;1117;ÇARŞI DURAĞI
1084;1;11;1118;AKÇAKÖY YOLU
1143;1;11;1119;CAMİ DURAĞI
890;1;12;1211;AVCILAR
891;1;12;1212;AYMERKEZ
892;1;12;1213;BAHÇELİEVLER
893;1;12;1214;BEYLİK PAZARI
894;1;12;1215;BEYLİKDÜZÜ
895;1;12;1216;BİZİMKENT DURAĞI
896;1;12;1217;BÜYÜKÇEKMECE ONUR MARKET
897;1;12;1218;ESENYURT
898;1;12;1219;KAZIM KARABEKİR CD.
899;1;12;1220;KUMBURGAZ
900;1;12;1221;MARMARAPARK AVM
901;1;12;1222;PALMİYE MEYDANI
902;1;12;1223;PELİCAN AVM
903;1;12;1224;SİLİVRİ A101
904;1;12;1225;SİLİVRİ E5 BAĞLANTI YOLU
905;1;12;1226;SİLİVRİ KİPA
906;1;12;1227;SİLİVRİ KÖY YOLU
1058;1;12;1228;KÜÇÜKÇEKMECE-BEŞYOL DURAĞI
1118;1;12;1229;PARADAYS AVM
907;1;13;1311;ARMADA CİTY
908;1;13;1312;ARYİĞİT
909;1;13;1313;ASKENT
910;1;13;1314;ASKENT-ONUR MARK.
911;1;13;1315;BALIKÇILAR DURAĞI
912;1;13;1316;ÇIRAKBAYIRI
913;1;13;1317;ÇORLU ANADOLU LİSESİ
914;1;13;1318;ÇORLU BELEDİYESİ
915;1;13;1319;ÇORLU ENDÜSTRİ MESLEK LİSESİ
916;1;13;1320;ÇORLU ERGENE VADİSİ
917;1;13;1321;ÇORLU ESKİ KIZ MESLEK LİSESİ
918;1;13;1322;ÇORLU KIZ MESLEK LİSESİ
919;1;13;1323;ÇORLU PARK
920;1;13;1324;ÇORLU VERGİ DAİRESİ
921;1;13;1325;ERGENE
922;1;13;1326;ESKİ VARNA CAFE
923;1;13;1327;EREN HOTEL
924;1;13;1328;HAVUZLAR CUMHURİYET PARKI
925;1;13;1329;HUZUREVİ
926;1;13;1330;IŞIKLAR
927;1;13;1331;KIVANÇ
928;1;13;1332;KIVANÇLOKUMCU
929;1;13;1333;KİLER MARKET
930;1;13;1334;LALEZAR
931;1;13;1335;LALEZARİHLAS
932;1;13;1336;MARMARACIK
933;1;13;1337;MİSİNLİ mahallesi
934;1;13;1338;ONUR MARKET
935;1;13;1339;ONUR MARK.-YEŞİLTEPE MAH.
936;1;13;1340;REŞADİYE SAĞLIK OCAĞI
937;1;13;1341;Sağlık Mah.BP Benzinlik
938;1;13;1342;SAĞLIK MAHALLESİ
939;1;13;1343;SANTRAL
940;1;13;1344;ŞİFA HASTANESİ
941;1;13;1345;ULAŞ
942;1;13;1346;ULAŞ-ŞAMPİYON D.
943;1;13;1347;VAKIFLAR
944;1;13;1348;VAKIFLAR CAMİİ
945;1;13;1349;YEŞİLTEPE CAMİİ DURAĞI
946;1;13;1350;YEŞİLTEPE DURAĞI
947;1;13;1351;YONCA PETROL
948;1;13;1352;GENEL
1039;1;13;1353;OTOGAR
1041;1;13;1354;ZAFER KOLEJİ
1044;1;13;1355;İZMİR BÜFE
1045;1;13;1356;CUMHURİYET MAH.
1046;1;13;1357;BELEDİYE KONUTLARI
1048;1;13;1358;EMLAK KONUTLARI
1049;1;13;1359;VESTEL
1056;1;13;1360;RUMELİ MAH.-MUHTARLIK
1057;1;13;1361;BÜLENT ECEVİT BULVARI
1059;1;13;1362;DENİZ CAFE
1065;1;13;1363;KENT SİTE
1066;1;13;1364;PERŞEMBE PAZARI
1085;1;13;1365;BEŞİKTAŞLILAR DERNEĞİ
1086;1;13;1366;PARK DÜĞÜN SALONU
1093;1;13;1367;MİGROS
1094;1;13;1368;KÖŞEM MARKET
1106;1;13;1369;HALKTAN KURUYEMİŞ
1108;1;13;1370;LOKUMCU
1109;1;13;1371;MASAL PARK
1110;1;13;1372;SU DEPOSU
1120;1;13;1373;HALK EKMEK
1121;1;13;1374;ALİ KAYAN İLKOKULU
1134;1;13;1375;ESENTEPE MH. DİŞ HASTANESİ
1135;1;13;1376;ESKİ PAZARTESİ PAZARI
1147;1;13;1377;Bertuğ Pastanesi
1148;1;13;1378;Vakıflar-Şok Market
1162;1;13;1379;Durak Büfe
949;1;14;1411;ÇİĞDEM PASTANESİ
950;1;14;1412;ESENYURT DEVLET HASTANESİ
951;1;14;1413;ESKİ JANDARMA
952;1;14;1414;IRMAKLAR MARKET
953;1;14;1415;KAPALI CADDE
955;1;14;1417;ONUR MARKET
956;1;14;1418;ÖRNEK MAHALLESİ
957;1;14;1419;TABELA DURAĞI
1029;1;14;1420;HADIMKÖY YOLU
1063;1;14;1421;BALIKYOLU
958;1;15;1511;AKIM KOLEJİ
959;1;15;1512;ALYA1
960;1;15;1513;ATATÜRK LİSESİ
961;1;15;1514;ATATÜRK MAHALLESİ
962;1;15;1515;AYDIN TAKSİ
963;1;15;1516;BERGULE EVLERİ
964;1;15;1517;BİR NEFES HASTANESİ
965;1;15;1518;BÜYÜKKARIŞTIRAN BELEDİYE
966;1;15;1519;BÜYÜKKARIŞTIRAN CAMİİ
967;1;15;1520;CAN PASTANESİ
968;1;15;1521;DAMAK PASTANESİ
969;1;15;1522;DİVA PASTANESİ
970;1;15;1523;DÜVENCİLER LİSESİ
971;1;15;1524;ELVAN PASTANESİ
972;1;15;1525;ESKİ İTFAİYE
973;1;15;1526;ETLİOĞLU
974;1;15;1527;GÜNDOĞU MAHALLESİ
975;1;15;1528;HABİBOĞLU
976;1;15;1529;HAYAT PASTANESİ
977;1;15;1530;HUZUREVİ
978;1;15;1531;HUZUREVİ  BİM YANI
979;1;15;1532;İSTASYON
980;1;15;1533;İSTİKLAL İ.Ö.O.
981;1;15;1534;KAMYON GARAJI
