ID;SicilNo;ShiftCode;StationCode;ServiceCode;DeptCode;ShiftStart;ShiftEnd;Author;WeeOfYear;CreateDate
33;10010;3;1351;"13        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
34;10011;3;1518;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
35;10014;3;1518;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
36;10018;3;1547;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
37;10009;5;1342;"13        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
38;10020;1;1535;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;10;17/03/2023
39;10023;1;1815;"18        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
40;10040;1;1522;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
41;10054;1;1528;"15        ";"01-019          ";17/03/2023;18/03/2023;NULL;11;17/03/2023
42;10020;5;1535;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
43;10077;5;1351;"13        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
44;10082;5;1535;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
45;10090;5;1914;"19        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
46;10104;5;1111;"11        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
47;10109;5;1518;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
48;10129;5;1549;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
49;10134;5;1527;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
50;10179;5;1547;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
51;10186;4;1518;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
52;10187;4;1518;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
53;10190;4;1351;"13        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
54;10214;4;1547;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
55;10215;4;1330;"13        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
56;10222;4;1818;"18        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
57;10234;4;1536;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
58;10254;4;1111;"11        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
59;10320;4;1518;"15        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
60;10338;4;1322;"13        ";"01-019          ";17/03/2023;17/03/2023;NULL;11;17/03/2023
